      Step     Time          Energy          fmax
FIRE:   15 13:39:07     -521.947021        0.102869
FIRE:   16 13:39:07     -521.947449        0.099024
FIRE:   17 13:39:08     -521.947998        0.093963
FIRE:   18 13:39:08     -521.948608        0.087768
FIRE:   19 13:39:08     -521.949280        0.080538
FIRE:   20 13:39:09     -521.949951        0.072364
FIRE:   21 13:39:09     -521.950684        0.062444
FIRE:   22 13:39:09     -521.951416        0.057070
FIRE:   23 13:39:10     -521.952087        0.052991
FIRE:   24 13:39:10     -521.952759        0.048320
      Step     Time          Energy          fmax
FIRE:    0 13:39:11     -521.485352        1.472079
FIRE:    1 13:39:11     -521.593689        1.289501
FIRE:    2 13:39:12     -521.758118        0.898625
FIRE:    3 13:39:12     -521.887268        0.323512
FIRE:    4 13:39:12     -521.915039        0.294136
FIRE:    5 13:39:13     -521.917297        0.281946
FIRE:    6 13:39:13     -521.921570        0.262937
FIRE:    7 13:39:14     -521.927002        0.234832
FIRE:    8 13:39:14     -521.932739        0.197995
FIRE:    9 13:39:14     -521.938049        0.153044
FIRE:   10 13:39:15     -521.942200        0.101371
FIRE:   11 13:39:15     -521.944824        0.084421
FIRE:   12 13:39:15     -521.946167        0.080106
FIRE:   13 13:39:16     -521.946594        0.106776
FIRE:   14 13:39:16     -521.946716        0.105473
FIRE:   15 13:39:17     -521.947021        0.102870
FIRE:   16 13:39:17     -521.947449        0.099024
FIRE:   17 13:39:17     -521.947998        0.093962
FIRE:   18 13:39:18     -521.948608        0.087768
FIRE:   19 13:39:18     -521.949280        0.080538
FIRE:   20 13:39:18     -521.949951        0.072362
FIRE:   21 13:39:19     -521.950684        0.062444
FIRE:   22 13:39:19     -521.951416        0.057070
FIRE:   23 13:39:19     -521.952087        0.052992
FIRE:   24 13:39:20     -521.952698        0.048318
      Step     Time          Energy          fmax
FIRE:    0 13:39:21     -521.485352        1.472079
FIRE:    1 13:39:21     -521.593689        1.289501
FIRE:    2 13:39:21     -521.758118        0.898625
FIRE:    3 13:39:22     -521.887268        0.323513
FIRE:    4 13:39:22     -521.915039        0.294136
FIRE:    5 13:39:22     -521.917297        0.281946
FIRE:    6 13:39:23     -521.921570        0.262937
FIRE:    7 13:39:23     -521.927002        0.234833
FIRE:    8 13:39:24     -521.932739        0.197995
FIRE:    9 13:39:24     -521.938049        0.153044
FIRE:   10 13:39:24     -521.942200        0.101372
FIRE:   11 13:39:25     -521.944824        0.084421
FIRE:   12 13:39:25     -521.946167        0.080105
FIRE:   13 13:39:25     -521.946594        0.106776
FIRE:   14 13:39:26     -521.946716        0.105472
FIRE:   15 13:39:26     -521.947021        0.102870
FIRE:   16 13:39:26     -521.947449        0.099024
FIRE:   17 13:39:27     -521.947998        0.093963
FIRE:   18 13:39:27     -521.948608        0.087768
FIRE:   19 13:39:28     -521.949280        0.080537
FIRE:   20 13:39:28     -521.949951        0.072363
FIRE:   21 13:39:28     -521.950684        0.062443
FIRE:   22 13:39:29     -521.951416        0.057071
FIRE:   23 13:39:29     -521.952087        0.052991
FIRE:   24 13:39:29     -521.952759        0.048320
      Step     Time          Energy          fmax
FIRE:    0 13:39:31     -542.870178        0.966228
FIRE:    1 13:39:31     -542.956177        0.986346
FIRE:    2 13:39:31     -543.115417        1.018533
FIRE:    3 13:39:32     -543.326904        1.045244
FIRE:    4 13:39:32     -543.563354        1.075863
FIRE:    5 13:39:33     -543.836670        1.132290
FIRE:    6 13:39:33     -544.244507        1.161165
FIRE:    7 13:39:34     -544.736328        0.988108
FIRE:    8 13:39:34     -545.188599        0.634499
FIRE:    9 13:39:34     -545.518433        0.692939
FIRE:   10 13:39:35     -545.763123        0.760210
FIRE:   11 13:39:35     -545.950317        0.806812
FIRE:   12 13:39:35     -546.106628        0.688783
FIRE:   13 13:39:36     -546.235840        0.700872
FIRE:   14 13:39:36     -546.338623        0.572727
FIRE:   15 13:39:37     -546.405334        0.597683
FIRE:   16 13:39:37     -546.461365        0.569248
FIRE:   17 13:39:37     -546.557617        0.516717
FIRE:   18 13:39:38     -546.670654        0.444494
FIRE:   19 13:39:38     -546.775391        0.346791
FIRE:   20 13:39:38     -546.854980        0.230588
FIRE:   21 13:39:39     -546.902649        0.232188
FIRE:   22 13:39:39     -546.927734        0.319688
FIRE:   23 13:39:40     -546.951050        0.375789
FIRE:   24 13:39:40     -546.993042        0.369764
FIRE:   25 13:39:40     -547.067627        0.296950
FIRE:   26 13:39:41     -547.163147        0.187653
FIRE:   27 13:39:41     -547.243713        0.166506
FIRE:   28 13:39:41     -547.282776        0.206818
FIRE:   29 13:39:42     -547.311157        0.261680
FIRE:   30 13:39:42     -547.375549        0.260009
      Step     Time          Energy          fmax
FIRE:    0 13:39:43     -542.870178        0.966228
FIRE:    1 13:39:43     -542.956177        0.986346
FIRE:    2 13:39:44     -543.115417        1.018534
FIRE:    3 13:39:44     -543.326904        1.045241
FIRE:    4 13:39:45     -543.563354        1.075863
FIRE:    5 13:39:45     -543.836670        1.132290
FIRE:    6 13:39:45     -544.244507        1.161165
FIRE:    7 13:39:46     -544.736328        0.988109
FIRE:    8 13:39:46     -545.188599        0.634504
FIRE:    9 13:39:46     -545.518433        0.692938
FIRE:   10 13:39:47     -545.763123        0.760212
FIRE:   11 13:39:47     -545.950317        0.806813
FIRE:   12 13:39:48     -546.106628        0.688777
FIRE:   13 13:39:48     -546.235840        0.700873
FIRE:   14 13:39:49     -546.338623        0.572729
FIRE:   15 13:39:49     -546.405334        0.597683
FIRE:   16 13:39:49     -546.461365        0.569248
FIRE:   17 13:39:50     -546.557617        0.516717
FIRE:   18 13:39:50     -546.670654        0.444495
FIRE:   19 13:39:50     -546.775391        0.346787
FIRE:   20 13:39:51     -546.854980        0.230587
FIRE:   21 13:39:51     -546.902649        0.232191
FIRE:   22 13:39:52     -546.927734        0.319690
FIRE:   23 13:39:52     -546.951050        0.375787
FIRE:   24 13:39:52     -546.993042        0.369766
FIRE:   25 13:39:53     -547.067627        0.296955
