No,Simulated Composition,FileName,PASSED_SCREENING,data_type,A-site(atom+number),A-site(total_atom),A-site(atom),A-site(number),A'-site(atom+number),A'-site(atom),A'-site(number),A''-site(atom+number),Bandgap_by_DFT,Energy_Raw_eV_by_DFT,Energy_Corrected_eV_by_DFT,Energy_per_atom_eV,Magnetic_by_DFT,Energy_above_convex_hull_Anodic_Conditions_eV_atom,Energy_above_convex_hull_Cathodic_Conditions_eV_atom,Energy_above_convex_hull_CO2_Conditions_eV_atom,Bandgap_by_DFT_w_noise,Zscore_Transformed,Zscore_Transformed_noised,Log_Transformed,Log_Transformed_noised,YeoJohnson_Transformed,YeoJohnson_Transformed_noised,rint_norm,rint_norm_noised,Energy_above_convex_hull_Cathodic_Conditions_eV_atom_noised,Energy_above_convex_hull_CO2_Conditions_eV_atom_noised,Energy_above_convex_hull_Anodic_Conditions_eV_atom_noised,Bandgap_by_DFT_noised
3425,Ba8_Nb7_Mn1_O24,Ba8Nb7Mn1O24.vasp,NOT,train,Ba8,8,Ba,8,,,0,,0.017,-319.052142,-337.208142,-8.43020355,-0.9968,0.349037837,0.650806271,0.68059873,0.017028279,-0.784581724,-0.785014445,-3.611918413,-3.612363802,0.016713709,0.016625114,-0.84359757,-0.842100397,0.6508517144956139,0.6805731235932259,0.3490287779813977,0.016801731524058488
788,Rb2_Sr6_Nb6_Cr2_O24,Rb2Sr6Nb6Cr2O24.vasp,NOT,train,Rb2,8,Rb,2,Sr6,Sr,6,,0.705,-310.477802,-330.963802,-8.27409505,8,0.220884197,0.376633427,0.376633427,0.7045124515352311,-0.193733694,-0.193680815,-0.335472736,-0.335569407,0.4119745834344693,0.4119495416001889,0.2315013113617918,0.230731347,0.376602767,0.3763065860990082,0.2209352135309281,0.704862652
799,Ba6_Ca2_Nb6_P2_O24,Ba6Ca2Nb6P2O24.vasp,NOT,train,Ba6,8,Ba,6,Ca2,Ca,2,,0.04,-308.412939,-324.900939,-8.122523475,2.8319,0.777938911,1.237938911,1.247421746,0.040146939,-0.764829537,-0.765678334,-2.995732274,-2.995297845,0.03845022,0.038350903,-0.568900344,-0.568835519,1.237907852928323,1.246819627102571,0.7779129888163694,0.040007955
1042,Ba2_Sm6_Ce8_O24,Ba2Sm6Ce8O24.vasp,NOT,train,Ba2,8,Ba,2,Sm6,Sm,6,,0.011,-326.748009,-343.236009,-8.580900225,0.0364,0.656426866,1.001426866,1.10357009,0.010871219,-0.789734469,-0.790340126,-3.863232841,-3.86330138,0.010879419,0.010826199,-1.036843856,-1.036329808,1.0014208121351578,1.1033659647597145,0.6564123464101417,0.010976431853732403
3264,Sr4_La4_Zr4_Fe4_O24,Sr4La4Zr4Fe4O24.vasp,NOT,train,Sr4,8,Sr,4,La4,La,4,,4.151,-317.133325,-342.645325,-8.566133125,20,0.063322358,0.061377379,0.126843619,4.150284386994416,2.7656592025076687,2.765721740486917,1.4257554300008042,1.4259514678353002,0.7985474435187829,0.7984281358089445,2.2023310747349254,2.202382581275996,0.061436027,0.1270348253885071,0.063332814,4.150876434889999
839,Sr6_Ca2_Nb6_Sn2_O24,Sr6Ca2Nb6Sn2O24.vasp,NOT,train,Sr6,8,Sr,6,Ca2,Ca,2,,0.011,-304.211767,-320.699767,-8.017494175,5.1546,0.461175149,0.806175149,0.808830961,0.011613629,-0.789734469,-0.790383882,-3.863232841,-3.863013471,0.010879419,0.010937201,-1.035931945,-1.034990051,0.8062032678335238,0.8086451262777499,0.4611706163151299,0.011103108381837251
4662,Sr8_Ce4_Ru4_O24,Sr8Ce4Ru4O24.vasp,NOT,train,Sr8,8,Sr,8,,,0,,0.001,-292.461017,-308.949017,-7.723725425,-4.1698,0.401929524,0.148542449,0.355556246,0.001762548,-0.798322376,-0.798101121,-4.509860006,-4.509415296,0.000998993,0.00099928,-2.07191421,-2.071896275,0.1485699792280834,0.355761507,0.4018950595213046,0.000878748
3687,Ba8_Y2_Ni6_O24,Ba8Y2Ni6O24.vasp,NOT,train,Ba8,8,Ba,8,,,0,,0.026,-230.507728,-262.241728,-6.5560432,5.251,1.677931198,0.58673055,1.146950161,0.026466249,-0.776852608,-0.776635807,-3.324236341,-3.324477849,0.025336239,0.02530589,-0.700650497,-0.699310825,0.5867021541517783,1.1462606047001918,1.6779558928705745,0.025927648
3686,Ba8_Y2_Fe6_O24,Ba8Y2Fe6O24.vasp,NOT,train,Ba8,8,Ba,8,,,0,,0.614,-263.619437,-293.643437,-7.341085925,26,0.724026299,0.230977466,0.651501904,0.6136283178662338,-0.271883651,-0.2719217,-0.471604911,-0.471588881,0.3791579304182291,0.3790874285013287,0.1808636635852379,0.1816685434358144,0.230995125,0.6513804635103592,0.7240037620346752,0.6139889560478968
747,Sr2_Ba6_Sc2_Co6_O24,Sr2Ba6Sc2Co6O24.vasp,NOT,train,Sr2,8,Sr,2,Ba6,Ba,6,,0.791,-253.290116,-279.606116,-6.9901529,20,1.084825503,0.280985438,0.596745227,0.7913113932771715,-0.11987769,-0.118880681,-0.221894332,-0.220578603,0.4399011532142246,0.4399652087123642,0.2639285198375512,0.2641769925398757,0.2809629281759066,0.596476746,1.0847735192153125,0.7910969889697316
