      Step     Time          Energy          fmax
FIRE:   12 16:43:09     -383.307892        0.249236
FIRE:   13 16:43:09     -383.327332        0.168838
FIRE:   14 16:43:10     -383.342499        0.120518
FIRE:   15 16:43:10     -383.351410        0.115666
FIRE:   16 16:43:10     -383.354218        0.128853
FIRE:   17 16:43:11     -383.354614        0.127937
FIRE:   18 16:43:11     -383.355347        0.126119
FIRE:   19 16:43:11     -383.356476        0.123412
FIRE:   20 16:43:12     -383.357880        0.119853
FIRE:   21 16:43:12     -383.359558        0.115485
FIRE:   22 16:43:12     -383.361420        0.110361
FIRE:   23 16:43:13     -383.363434        0.106216
FIRE:   24 16:43:13     -383.365753        0.103421
FIRE:   25 16:43:13     -383.368347        0.100011
FIRE:   26 16:43:14     -383.371124        0.095912
FIRE:   27 16:43:14     -383.374023        0.091080
FIRE:   28 16:43:14     -383.376923        0.085525
FIRE:   29 16:43:15     -383.379852        0.079341
FIRE:   30 16:43:15     -383.382812        0.072712
      Step     Time          Energy          fmax
FIRE:    0 16:43:16     -383.382812        0.072712
FIRE:    1 16:43:16     -383.383667        0.072464
FIRE:    2 16:43:16     -383.385254        0.071900
FIRE:    3 16:43:17     -383.387299        0.070875
FIRE:    4 16:43:17     -383.389587        0.069168
FIRE:    5 16:43:17     -383.392029        0.066520
FIRE:    6 16:43:18     -383.394592        0.062709
FIRE:    7 16:43:18     -383.397217        0.057639
FIRE:    8 16:43:18     -383.400208        0.050652
FIRE:    9 16:43:18     -383.403259        0.042969
      Step     Time          Energy          fmax
FIRE:    0 16:43:19     -381.890503        1.286676
FIRE:    1 16:43:19     -382.111847        1.123995
FIRE:    2 16:43:20     -382.461823        0.837890
FIRE:    3 16:43:20     -382.810120        0.485095
FIRE:    4 16:43:20     -383.055389        0.377657
FIRE:    5 16:43:21     -383.167328        0.359994
FIRE:    6 16:43:21     -383.187653        0.561418
FIRE:    7 16:43:21     -383.196198        0.543579
FIRE:    8 16:43:22     -383.212219        0.508951
FIRE:    9 16:43:22     -383.233948        0.459463
FIRE:   10 16:43:22     -383.258881        0.397706
FIRE:   11 16:43:22     -383.284393        0.326605
FIRE:   12 16:43:23     -383.307892        0.249236
FIRE:   13 16:43:23     -383.327332        0.168838
FIRE:   14 16:43:23     -383.342499        0.120518
FIRE:   15 16:43:24     -383.351410        0.115666
FIRE:   16 16:43:24     -383.354218        0.128853
FIRE:   17 16:43:24     -383.354614        0.127937
FIRE:   18 16:43:25     -383.355347        0.126119
FIRE:   19 16:43:25     -383.356476        0.123411
FIRE:   20 16:43:25     -383.357880        0.119853
FIRE:   21 16:43:26     -383.359558        0.115485
FIRE:   22 16:43:26     -383.361420        0.110361
FIRE:   23 16:43:26     -383.363434        0.106216
FIRE:   24 16:43:27     -383.365753        0.103421
FIRE:   25 16:43:27     -383.368347        0.100011
FIRE:   26 16:43:27     -383.371124        0.095912
FIRE:   27 16:43:28     -383.374023        0.091081
FIRE:   28 16:43:28     -383.376923        0.085525
FIRE:   29 16:43:28     -383.379852        0.079341
FIRE:   30 16:43:29     -383.382812        0.072712
      Step     Time          Energy          fmax
FIRE:    0 16:43:29     -381.890503        1.286676
FIRE:    1 16:43:30     -382.111847        1.123995
FIRE:    2 16:43:30     -382.461823        0.837890
FIRE:    3 16:43:30     -382.810120        0.485095
FIRE:    4 16:43:31     -383.055389        0.377658
FIRE:    5 16:43:31     -383.167328        0.359994
FIRE:    6 16:43:31     -383.187653        0.561418
FIRE:    7 16:43:32     -383.196198        0.543579
FIRE:    8 16:43:32     -383.212219        0.508951
FIRE:    9 16:43:32     -383.233948        0.459463
FIRE:   10 16:43:33     -383.258881        0.397706
FIRE:   11 16:43:33     -383.284393        0.326605
FIRE:   12 16:43:33     -383.307861        0.249238
